,name,PBE/6-31G*,CCSD(T)/6-31G*
117,C5H6,-104.37162451055006,-93.93414467073374
118,C6H5-,-116.62550478073535,-104.81514813717645
119,CH3CH2NH3+,-72.19571315425195,-63.450854864669964
120,C4H6N+,-88.81054543939536,-78.57866050063272
121,C4H6N+,-88.81054543939536,-78.57866050063272
122,CH3COOCH3,-100.76399341929142,-90.83394013760898
123,C2H5NO3,-91.96419315357872,-78.80577436856798
124,CH3CHCHCH3,-96.81753228529487,-87.85612133649313
125,CH3CHCHCH3,-96.81753228529487,-87.85612133649313
126,C6H6,-106.98734964607623,-95.60113719815854
127,C6H6,-106.98734964607623,-95.60113719815854
128,C6H6,-106.98734964607623,-95.60113719815854
129,C6H6,-106.98734964607623,-95.60113719815854
130,CH3NHNHCH3,-85.45184664941553,-73.88700343963744
131,C3H7OH,-91.83781615053401,-82.77532369103089
132,C3H6O3,-98.45319044177934,-88.08673260254727
133,C5H6O,-108.25454261633907,-97.79024597753353
134,C5H8,-99.95967940946419,-90.10691127099562
135,C5H8,-99.95967940946419,-90.10691127099562
136,C5H8,-99.95967940946419,-90.10691127099562
137,C5H8,-99.95967940946419,-90.10691127099562
138,C5H8,-99.95967940946419,-90.10691127099562
139,C5H8,-99.95967940946419,-90.10691127099562
140,C5H8,-99.95967940946419,-90.10691127099562
141,C6H7+,-97.90134278931565,-87.7032029486727
142,C4H7NO,-100.56903368557239,-90.34309015226721
143,C4H7NO,-100.56903368557239,-90.34309015226721
144,C6H6O,-114.08450415395335,-103.2312441027271
145,C6H6O,-114.08450415395335,-103.2312441027271
146,C7H7+,-103.65507264024511,-93.19816437140564
147,C8H6,-117.64265384959539,-105.96591185401068
148,C6H5CCH,-117.64265384959539,-105.96591185401068
149,C4H8O2,-100.15867051031715,-90.34894842042247
150,C4H8O2,-100.15867051031715,-90.34894842042247
151,C5H8O,-102.8325418747762,-92.87306929653901
152,C4H8O2,-100.15867051031715,-90.34894842042247
153,C5H8O,-102.8325418747762,-92.87306929653901
154,C4H8O2,-100.15867051031715,-90.34894842042247
155,HO2CCHNH2CH2OH,-98.09272474749845,-87.29915713316379
156,C5H8O2,-104.14435339303067,-94.04718111757344
157,C8H8,-109.08225080531338,-97.85288957964076
158,C8H8,-109.08225080531338,-97.85288957964076
159,C9H8,-116.38687520861276,-105.82378595477134
160,NC4H12+,-81.72727562586078,-72.98964876375634
161,CH3COC6H5,-115.92132986024166,-103.05624042140141
162,C6H12,-97.6376348752205,-88.56705470877286
163,C6H12,-97.6376348752205,-88.56705470877286
164,C6H12,-97.6376348752205,-88.56705470877286
165,C6H12,-97.6376348752205,-88.56705470877286
166,C6H12,-97.6376348752205,-88.56705470877286
167,C6H12,-97.6376348752205,-88.56705470877286
168,C6H12,-97.6376348752205,-88.56705470877286
169,C6H12,-97.6376348752205,-88.56705470877286
170,C6H12,-97.6376348752205,-88.56705470877286
171,C10H8,-121.10953100581537,-109.48191904709772
172,C12H8,-125.54342059082701,-113.65741757969371
173,C6H12N2,-98.65944857243304,-86.9071681754518
174,C7H14,-98.51431043235131,-89.24647316080795
175,C16H10,-130.30798961748727,-117.16250989946107
176,C9H20,-96.22897616990818,-87.34409076507416
177,C10H22,-96.47980389630084,-87.57816979982363
