,name,B3LYP/6-31G*,CCSD(T)/6-31G*
144,C8H6,-113.77132545621966,-105.96591185401068
145,C6H5CCH,-113.77132545622173,-105.96591185401068
146,C4H8O2,-98.10916623607461,-90.34894842042247
147,C4H8O2,-98.10916623607461,-90.34894842042247
148,C5H8O,-100.55093302567755,-92.87306929653901
149,C4H8O2,-98.10916623607461,-90.34894842042247
150,C5H8O,-100.55093302567755,-92.87306929653901
151,C4H8O2,-98.10916623607461,-90.34894842042247
152,HO2CCHNH2CH2OH,-95.27665067637697,-87.29915713316379
153,C5H8O2,-101.6293131595982,-94.04718111757344
154,C8H8,-105.25987286499912,-97.85288957964076
155,C8H8,-105.25987286499912,-97.85288957964076
156,C9H8,-113.00264920330065,-105.82378595477134
157,NC4H12+,-80.87084441220983,-72.98964876375634
158,CH3COC6H5,-112.76206048587268,-103.05624042140141
159,C6H12,-96.47785164004179,-88.56705470877286
160,C6H12,-96.47785164004179,-88.56705470877286
161,C6H12,-96.47785164004179,-88.56705470877286
162,C6H12,-96.47785164004179,-88.56705470877286
163,C6H12,-96.47785164004179,-88.56705470877286
164,C6H12,-96.47785164004179,-88.56705470877286
165,C6H12,-96.47785164004179,-88.56705470877286
166,C6H12,-96.47785164004179,-88.56705470877286
167,C6H12,-96.47785164004179,-88.56705470877286
168,C10H8,-117.41642506601218,-109.48191904709772
169,C12H8,-121.37065044828633,-113.65741757969371
170,C6H12N2,-96.57415745168692,-86.9071681754518
171,C7H14,-97.17744501968541,-89.24647316080795
172,C16H10,-126.02694290663483,-117.16250989946107
173,C9H20,-95.21039069522622,-87.34409076507416
174,C10H22,-95.4299369659202,-87.57816979982363
